,ALL PEOPLE - Total H,ALL PEOPLE - Living in a couple,ALL PEOPLE - Not living in a couple,Males - Total,Males - Living in a couple,Males - Not living in a couple,Females - Total,Females - Living in a couple,Females - Not living in a couple
ALL PEOPLE,     87748,     41262,     46486,     42263,     20631,     21632,     45485,     20631,     24854
    0 to 15,     19267,         3,     19264,      9788,         3,      9785,      9479,         0,      9479
    16 to 19,      4610,       213,      4397,      2279,        58,      2221,      2331,       155,      2176
    20 to 24,      4550,      1207,      3343,      2129,       444,      1685,      2421,       763,      1658
    25 to 34,     11050,      6835,      4215,      5192,      3179,      2013,      5858,      3656,      2202
    35 to 39,      6979,      4925,      2054,      3305,      2417,       888,      3674,      2508,      1166
    40 to 44,      6434,      4766,      1668,      3202,      2404,       798,      3232,      2362,       870
    45 to 49,      5741,      4363,      1378,      2850,      2157,       693,      2891,      2206,       685
    50 to 54,      6084,      4704,      1380,      3040,      2373,       667,      3044,      2331,       713
    55 to 59,      4665,      3611,      1054,      2337,      1850,       487,      2328,      1761,       567
    60 to 64,      4633,      3400,      1233,      2226,      1719,       507,      2407,      1681,       726
    65 to 69,      4473,      3030,      1443,      2144,      1610,       534,      2329,      1420,       909
    70 to 74,      3674,      2183,      1491,      1683,      1228,       455,      1991,       955,      1036
    75 to 79,      2898,      1274,      1624,      1202,       732,       470,      1696,       542,      1154
    80 to 84,      1705,       572,      1133,       610,       337,       273,      1095,       235,       860
    85 to 89,       715,       147,       568,       207,        95,       112,       508,        52,       456
    90 and over ,       270,        29,       241,        69,        25,        44,       201,         4,       197
