,ALL PEOPLE - Total M,ALL PEOPLE - Living in a couple,ALL PEOPLE - Not living in a couple,Males - Total,Males - Living in a couple,Males - Not living in a couple,Females - Total,Females - Living in a couple,Females - Not living in a couple
ALL PEOPLE,    132948,     56823,     76125,     63826,     28397,     35429,     69122,     28426,     40696
    0 to 15,     29997,         9,     29988,     15168,         9,     15159,     14829,         0,     14829
    16 to 19,      7941,       259,      7682,      3992,        70,      3922,      3949,       189,      3760
    20 to 24,      9060,      1940,      7120,      4418,       733,      3685,      4642,      1207,      3435
    25 to 34,     17134,      9511,      7623,      8014,      4455,      3559,      9120,      5056,      4064
    35 to 39,     10196,      6936,      3260,      4779,      3370,      1409,      5417,      3566,      1851
    40 to 44,      9729,      6898,      2831,      4740,      3474,      1266,      4989,      3424,      1565
    45 to 49,      8582,      6235,      2347,      4180,      3117,      1063,      4402,      3118,      1284
    50 to 54,      8426,      6246,      2180,      4205,      3105,      1100,      4221,      3141,      1080
    55 to 59,      6469,      4831,      1638,      3220,      2497,       723,      3249,      2334,       915
    60 to 64,      6280,      4456,      1824,      3013,      2271,       742,      3267,      2185,      1082
    65 to 69,      5915,      3734,      2181,      2749,      1965,       784,      3166,      1769,      1397
    70 to 74,      5324,      2999,      2325,      2442,      1681,       761,      2882,      1318,      1564
    75 to 79,      4121,      1780,      2341,      1666,      1032,       634,      2455,       748,      1707
    80 to 84,      2345,       759,      1586,       855,       464,       391,      1490,       295,      1195
    85 to 89,      1042,       187,       855,       299,       124,       175,       743,        63,       680
    90 and over ,       387,        43,       344,        86,        30,        56,       301,        13,       288
