,ALL PEOPLE - Total R,ALL PEOPLE - Living in a couple,ALL PEOPLE - Not living in a couple,Males - Total,Males - Living in a couple,Males - Not living in a couple,Females - Total,Females - Living in a couple,Females - Not living in a couple
ALL PEOPLE,    137705,     67654,     70051,     66602,     33801,     32801,     71103,     33853,     37250
    0 to 15,     28511,         0,     28511,     14523,         0,     14523,     13988,         0,     13988
    16 to 19,      7085,       264,      6821,      3520,        69,      3451,      3565,       195,      3370
    20 to 24,      7014,      1589,      5425,      3395,       557,      2838,      3619,      1032,      2587
    25 to 34,     16771,     10032,      6739,      7960,      4654,      3306,      8811,      5378,      3433
    35 to 39,     10510,      7720,      2790,      4995,      3715,      1280,      5515,      4005,      1510
    40 to 44,      9662,      7369,      2293,      4798,      3681,      1117,      4864,      3688,      1176
    45 to 49,      9096,      7085,      2011,      4515,      3487,      1028,      4581,      3598,       983
    50 to 54,     10276,      8241,      2035,      5178,      4136,      1042,      5098,      4105,       993
    55 to 59,      8611,      6919,      1692,      4251,      3472,       779,      4360,      3447,       913
    60 to 64,      7973,      6115,      1858,      3972,      3175,       797,      4001,      2940,      1061
    65 to 69,      6641,      4703,      1938,      3223,      2536,       687,      3418,      2167,      1251
    70 to 74,      5919,      3708,      2211,      2674,      2044,       630,      3245,      1664,      1581
    75 to 79,      4853,      2414,      2439,      1982,      1353,       629,      2871,      1061,      1810
    80 to 84,      2952,      1117,      1835,      1086,       676,       410,      1866,       441,      1425
    85 to 89,      1362,       319,      1043,       416,       201,       215,       946,       118,       828
    90 and over ,       469,        59,       410,       114,        45,        69,       355,        14,       341
